cnpj,nome,uf,city,ibge,bairro,cnae_match,match,tier,method,addr_sim,name_sim,tp_id,tp_name
46014770000194,,PR,Curitiba,4106902,VILA IZABEL,secundario,0,,,,,,
46797144000111,FYSIOTOP,BA,Salvador,2927408,CENTRO HISTORICO,secundario,0,,,,,,
48576393000102,STUDIO ESPACO FIT,MG,Paracatu,3147006,CENTRO,principal,0,,,,,,
04264336000465,GM TEAM SCORPYON,SC,Imbituba,4207304,NOVA BRASILIA,principal,0,,,,,,
49123872000136,PERFORMANCE ACADEMIA,RS,São Gabriel,4318309,CENTRO,principal,0,,,,,,
49384651000111,DYNAMO Y CENTRO DE REABILITACAO,GO,Goiânia,5208707,SET CIDADE JARDIM,secundario,0,,,,,,
49436740000164,STUDIO PERSONAL GUSTAVO ROSSETTO,RS,Trindade do Sul,4321956,CENTRO,principal,0,,,,,,
49613732000146,JP STUDIO FITNESS,MG,Viçosa,3171303,SANTA CLARA,principal,1,alta,num+rua+nome,100,74,6a8c0551-3d5d-4937-9ee0-f16157d4ea65,academia JP fitness 
49669848000105,STUDIO TK,SP,Aparecida,3502507,JARDIM PARAIBA,principal,0,,,,,,
50043407000174,GIBBET GYM,PB,João Pessoa,2507507,JOSÉ AMÉRICO DE ALMEIDA,principal,0,,,,,,
50306264000146,CF MERAKI,SP,São Vicente,3551009,JARDIM INDEPENDENCIA,principal,1,alta,num+rua+nome,100,100,42f9689d-fa61-4a73-8eea-304d90c3308a,CF MERAKI
50741201000118,,SP,Ferraz de Vasconcelos,3515707,SITIO PAREDAO,secundario,0,,,,,,
51958232000198,INSTITUTO SAUDE,BA,Cipó,2907905,CENTRO,secundario,0,,,,,,
52244158000100,SPORTFIT,MG,Juiz de Fora,3136702,DEMOCRATA,principal,1,alta,num+rua+nome,100,100,7de3ffbc-4f0a-4410-af88-2868ba83e570,SPORTFIT - JUIZ DE FORA
52270726000148,MOVE FITNESS MARIANA ALVES,PB,Triunfo,2516805,CENTRO,principal,0,,,,,,
52728857000126,KM FIT,MA,Coelho Neto,2103406,BOM SUCESSO,principal,0,,,,,,
52778338000172,NEXT LEVEL,CE,Brejo Santo,2302503,PEDRO NICODEMOS,principal,0,,,,,,
53064268000153,,SC,Maravilha,4210506,PROGRESSO,principal,0,,,,,,
53469221000170,,PB,Sousa,2516201,NUCLEO N 2,principal,0,,,,,,
53916974000186,CENTRO DE TREINAMENTOS FORCE OF TIME,SC,Navegantes,4211306,SAO DOMINGOS,secundario,1,alta,num+rua+nome,100,100,d9cf1982-75e8-4f99-8b0c-baf50f9cac0b,Force of Time
53985270000165,STRONG FIGHTER,MG,Governador Valadares,3127701,GRA-DUQUESA,secundario,0,,,,,,
54135214000102,,MA,Imperatriz,2105302,PARQUE ALVORADA II,secundario,0,,,,,,
54341077000154,JULIA SOARES GYM,PR,Curitiba,4106902,BOQUEIRÃO,secundario,0,,,,,,
55194917000166,NEO PERFORME,SC,São José,4216602,PRAIA COMPRIDA,principal,0,,,,,,
55601732000129,ARENA MEET SPORT,PA,Marabá,1504208,CIDADE JARDIM,secundario,0,,,,,,
55667472000194,FIT WAVE ACADEMIA,PR,Guaratuba,4109609,CENTRO,principal,0,,,,,,
56339439000106,ACADEMIA STRONGER,MG,Santa Rita do Sapucaí,3159605,OZORIO MACHADO,principal,1,alta,num+rua+nome,100,100,d4c86d54-e1cd-448a-ad68-dc0eaca2d0eb,Academia Stronger 
57032905000160,FISIO SAUDE,PI,Teresina,2211001,URUGUAI,secundario,0,,,,,,
57507452000181,ESPACO DE DESENVOLVIMENTO INFANTIL MOVIMENTAR,RJ,Rio de Janeiro,3304557,VARGEM PEQUENA,principal,0,,,,,,
57923854000167,TIME EDU PERFORMANCE PERSONALIZADA,MG,Belo Horizonte,3106200,CALAFATE,principal,0,,,,,,
57954727000125,SETFIT ACADEMIA,SP,São José do Rio Preto,3549805,SETVALLEY,principal,0,,,,,,
57984662000160,ACADEMIA SKY BLUE,SC,Florianópolis,4205407,CACHOEIRA DO BOM JESUS,principal,0,,,,,,
58064290000117,FENIX PERSONAL TRAINER,SP,São Paulo,3550308,SANTANA,principal,0,,,,,,
58938710000147,,SP,Amparo,3501905,JARDIM SILMARA,secundario,0,,,,,,
59370073000118,ACADEMIA HIPERPRIME DE ANDRADINA,SP,Andradina,3502101,CENTRO,principal,1,alta,num+rua+nome,100,100,b50c1b11-9761-48c0-a991-09be8a5196c0,HiperPrime - Andradina
59475932000133,,PR,São José dos Pinhais,4125506,AFONSO PENA,secundario,0,,,,,,
59769628000107,MATMORPHOSIS PILATES STUDIO,SP,Campinas,3509502,PARQUE INDUSTRIAL,principal,1,alta,num+rua+nome,100,100,e575339c-e5e7-49de-bc13-5d8e4c321a9b,Matmorphosis Pilates Studio 
60493173000110,WODFIT,PE,Recife,2611606,VASCO DA GAMA,principal,0,,,,,,
60848003000101,FISIOPRIME POR SHEILA REIS,BA,Cícero Dantas,2907806,CENTRO,secundario,0,,,,,,
60871907000158,STUDIO CENA,ES,São Mateus,3204906,CARAPINA,principal,0,,,,,,
60232125000179,,SC,São Bento do Sul,4215802,MATO PRETO,secundario,0,,,,,,
60998863000121,AXN COMERCIO IMPORTACAO E EXPORTACAO,MT,Cuiabá,5103403,JARDIM SANTA ISABEL,secundario,0,,,,,,
61144785000160,LUMIVITTAE STUDIO DE PILATES,PB,Campina Grande,2504009,SANTA CRUZ,principal,0,,,,,,
61918784000126,FITSTUDIO XAVIER,MG,São Gotardo,3162104,NOSSA SENHORA DE FATIMA,principal,0,,,,,,
